Zona;Contrato;Orden;Usuario;Estado;Ejecucion;mes;ano;Codigo;Anomalia;NUnidad;Unidad;NCausa;Causa;UGenera;Descripcion;Motivo;Cuadrilla;kWhRec;Factor
NO;R Y 211.2023;28022532;1050542;Aprobada;2023-08-23 17:00:50-05;8;2023;1 / 1 / 1 / 1 / 1;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;75;GES. ENERGETICA;75;CAMBIO PLAN COMERCIAL;WARCOS123;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1353;1286;
PA;DIC 209.2023;28158806;1038032;Aprobada;2023-09-04 09:44:12-05;9;2023;30006;ADICION DE ENERGIA RECUPERADA;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Destacados Flash;ZTY1407;1980;
CE;DES 100.2018;28162578;1029977;Pendiente;2023-12-06 14:18:10-05;12;2023;N/A;medidor no conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;DEGOMEZ123;Posible anomalia;Disponible;ZTY141;;
CE;DES 100.2018;28163109;1240548;Rechazada;2024-05-09 11:03:46-05;5;2024;431;Orden Factor;0;FACTURACION;0;CAUSA NO DETERMINADA;EROMO123;Anomalia verificada con acta digital;No Procede Pare;ZTY142;;40
CE;DES 100.2018;28268877;1234711;Rechazada;2024-05-02 09:19:28-05;5;2024;431;Orden Factor;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;OCARDENAS;Anomalia verificada con acta digital;No Procede Pare;ZTY142;;60
CE;DES 100.2018;28343171;1153905;Aprobada;2024-01-17 09:47:54-05;1;2024;1 / 82;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Linea Directa y/o acometida intervenida;0;FACTURACION;0;CAUSA NO DETERMINADA;HQUINTERO;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY144;;30
PA;DIC 209.2023;28395190;558625;Aprobada;2023-10-03 15:21:53-05;10;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1401;;
CE;DES 100.2018;28483340;1094936;Rechazada;2024-05-15 14:04:23-05;5;2024;431;Orden Factor;0;FACTURACION;0;CAUSA NO DETERMINADA;CMORENO123;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY142;;20
PA;P Y 242.2023;28531634;1136742;Rechazada;2024-01-11 10:19:23-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada con acta digital;No Procede Pare;ZTY1452;;
PA;P Y 242.2023;28531845;1220428;Rechazada;2024-01-12 09:10:09-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada con acta digital;No Procede Pare;ZTY1451;;
PA;P Y 242.2023;28531850;1136897;Aprobada;2024-01-09 16:31:13-05;1;2024;1 / 82 / 38 / 38;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a / Inspecci�n T�cnica Conforme / Acometida Intervenid;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1453;652;
CE;DES 100.2018;28532706;123966;Rechazada;2024-05-07 09:03:29-05;5;2024;431;Orden Factor;0;FACTURACION;0;CAUSA NO DETERMINADA;MTARAMU123;Anomalia verificada con acta digital;No Procede Pare;ZTY141;;20
NO;R Y 211.2023;28616715;1225222;Aprobada;2023-09-25 09:23:00-05;9;2023;1 / 1 / 30001 / 30001;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE / OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1354;0;
PA;MEC 231.2023;28640499;1146128;Aprobada;2023-10-10 08:49:53-05;10;2023;1;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1361;190;
PA;DIC 209.2023;28661765;581929;Aprobada;2024-01-19 13:36:47-05;1;2024;1 / 82 / 82;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Linea Directa / Se Corrige Anomal�a;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1406;1343;
PA;DIC 209.2023;28750700;378200;Aprobada;2023-06-29 09:19:36-05;6;2023;30004;OTRAS ANOMAL�AS REINCIDENTE PARE;75;GES. ENERGETICA;75;CAMBIO PLAN COMERCIAL;GSANDOVAL;Anomalia verificada y aprobada;Otras Anomalias;ZTY1406;;
PA;DIC 209.2023;28843108;1078290;Aprobada;2023-12-29 11:12:54-05;12;2023;1 / 1;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;75;FACTURACION;75;CAMBIO PLAN COMERCIAL;JARTEAGA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1401;;
PA;P Y 242.2023;28844196;1045072;Aprobada;2024-01-12 12:19:27-05;1;2024;82 / 1 / 82;Linea Directa / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a;0;FACTURACION;0;CAUSA NO DETERMINADA;PORELLANA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1451;161;
PA;P Y 242.2023;28868128;1220369;Rechazada;2024-01-11 10:56:37-05;1;2024;38;Inspecci�n T�cnica Conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;SROSERO;Anomalia verificada con acta digital;No Procede Pare;ZTY1452;;
PA;P Y 242.2023;28875432;1045093;Aprobada;2024-01-11 08:37:27-05;1;2024;82 / 82 / 1;Linea Directa / Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;FACTURACION;0;CAUSA NO DETERMINADA;ABURGOS123;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1451;1635;
PA;P Y 242.2023;28942659;1089230;Rechazada;2024-01-10 16:13:25-05;1;2024;38;Inspecci�n T�cnica Conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;MACARVAJAL;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY1452;;
PA;P Y 242.2023;28942670;1134011;Rechazada;2024-01-10 10:58:24-05;1;2024;38;Inspecci�n T�cnica Conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;MACARVAJAL;Anomalia verificada con acta digital;No Procede Pare;ZTY1452;;
PA;P Y 242.2023;28942679;1134015;Rechazada;2024-01-10 10:27:41-05;1;2024;38;Inspecci�n T�cnica Conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;MACARVAJAL;Anomalia verificada con acta digital;No Procede Pare;ZTY1452;;
PA;P Y 242.2023;28942689;1136875;Rechazada;2024-01-10 07:26:48-05;1;2024;38;Inspecci�n T�cnica Conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;MACARVAJAL;Anomalia verificada con acta digital;No Procede Pare;ZTY1452;;
PA;P Y 242.2023;28942698;1136878;Rechazada;2024-01-10 09:25:03-05;1;2024;38;Inspecci�n T�cnica Conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;MACARVAJAL;Anomalia verificada con acta digital;No Procede Pare;ZTY1452;;
PA;DIC 209.2023;28944345;427849;Aprobada;2023-11-16 09:47:41-05;11;2023;11;ALTERACI�N DE LA POSICI�N DEL MEDIDOR DE INDUCCI�N;0;FACTURACION;0;CAUSA NO DETERMINADA;MACARVAJAL;Anomalia verificada y aprobada;Factor;ZTY1401;0;
PA;DIC 209.2023;28944440;1145484;Rechazada;2024-01-09 15:02:26-05;1;2024;38;Inspecci�n T�cnica Conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;MACARVAJAL;Anomalia verificada con acta digital;No Procede Pare;ZTY1401;0;
PA;DIC 209.2023;28944626;1156257;Aprobada;2023-11-29 11:32:41-05;11;2023;30001 / 30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE / OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;FACTURACION;0;CAUSA NO DETERMINADA;MACARVAJAL;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1401;;
PA;DIC 209.2023;28946626;8557571;Aprobada;2023-12-02 09:30:53-05;12;2023;11;ALTERACI�N DE LA POSICI�N DEL MEDIDOR DE INDUCCI�N;0;FACTURACION;0;CAUSA NO DETERMINADA;MACARVAJAL;Anomalia verificada y aprobada;Factor;ZTY1401;0;
PA;P Y 242.2023;28947680;1045116;Pendiente;2024-01-11 11:53:45-05;1;2024;38;Inspecci�n T�cnica Conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;MACARVAJAL;Posible anomalia;;ZTY1451;0;
PA;P Y 242.2023;28947687;1045134;Aprobada;2024-01-10 09:36:07-05;1;2024;82 / 30001;Se Corrige Anomal�a / OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;FACTURACION;0;CAUSA NO DETERMINADA;MACARVAJAL;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1451;;
PA;P Y 242.2023;28947732;1045416;Rechazada;2024-01-12 07:22:39-05;1;2024;39 / 38;Medidor desconectado / Inspecci�n T�cnica Conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;MACARVAJAL;Anomalia verificada con acta digital;No Procede Pare;ZTY1451;;
PA;P Y 242.2023;28947761;1053864;Pendiente;2024-01-10 07:14:11-05;1;2024;82 / 82;Linea Directa / Se Corrige Anomal�a;0;FACTURACION;0;CAUSA NO DETERMINADA;MACARVAJAL;Posible anomalia;;ZTY1451;313;
PA;P Y 242.2023;28947789;1053966;Aprobada;2024-01-12 07:48:05-05;1;2024;38 / 82 / 38 / 1;Inspecci�n T�cnica Conforme / Se Corrige Anomal�a / Acometida Intervenid / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;FACTURACION;0;CAUSA NO DETERMINADA;MACARVAJAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1452;551;
NO;MON 280.2023;28948469;563983;Aprobada;2023-11-01 09:28:17-05;11;2023;30004;OTRAS ANOMAL�AS REINCIDENTE PARE;0;FACTURACION;0;CAUSA NO DETERMINADA;MACARVAJAL;Anomalia verificada y aprobada;Otras Anomalias;ZTY1423;;
NO;MON 280.2023;28948824;1011940;Aprobada;2023-10-18 17:42:56-05;10;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;FACTURACION;0;CAUSA NO DETERMINADA;MACARVAJAL;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1422;867;
PA;DIC 209.2023;28949695;585347;Aprobada;2023-10-20 13:00:52-05;10;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1406;;
PA;ELE 283.2024;28951089;1046860;Aprobada;2023-10-12 08:56:23-05;10;2023;1;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JCDIAZ123;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1407;1042;
SU;DIC 230.2023;29163696;1104177;Aprobada;2023-10-19 15:09:08-05;10;2023;1;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;CMORALES;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1395;1142;
PA;DIC 209.2023;29348274;1065166;Aprobada;2023-11-17 20:37:52-05;11;2023;1;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1403;;
PA;DIC 209.2023;29443570;1182426;Aprobada;2023-11-17 11:05:28-05;11;2023;30004;OTRAS ANOMAL�AS REINCIDENTE PARE;0;FACTURACION;0;CAUSA NO DETERMINADA;FRAMIREZ;Anomalia verificada y aprobada;Otras Anomalias;ZTY1401;;
PA;P Y 242.2023;29482286;1053914;Aprobada;2024-01-13 07:25:32-05;1;2024;82 / 30001;Se Corrige Anomal�a / OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;FACTURACION;0;CAUSA NO DETERMINADA;SROSERO;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1451;;
PA;DIC 209.2023;29492492;8545958;Rechazada;2024-01-23 12:33:08-05;1;2024;H1;Reconexion No Autorizada;0;FACTURACION;0;CAUSA NO DETERMINADA;FRAMIREZ;Anomalia verificada con acta digital;Zona De Dif�cil Gesti�n Por Orden Publico;ZTY1401;;
PA;P Y 242.2023;29503000;1133840;Rechazada;2024-01-09 15:28:25-05;1;2024;38;Inspecci�n T�cnica Conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;SROSERO;Anomalia verificada con acta digital;No Procede Pare;ZTY1452;;
PA;DIC 209.2023;29542097;1118674;Aprobada;2023-12-12 10:24:28-05;12;2023;30001 / 30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE / OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;FACTURACION;0;CAUSA NO DETERMINADA;GBUCHELY;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1401;;
SU;PRI 232.2023;29545035;1058490;Pendiente;2023-12-15 13:26:51-05;12;2023;N/A;medidor no conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;RPATINO;Posible anomalia;Disponible;ZTY1418;;
PA;MEC 231.2023;29545037;427977;Aprobada;2023-12-11 14:27:07-05;12;2023;1;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;FACTURACION;0;CAUSA NO DETERMINADA;FRAMIREZ;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1364;125;
PA;MEC 231.2023;29603617;1059344;Aprobada;2023-11-14 15:29:08-05;11;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;75;GES. ENERGETICA;75;CAMBIO PLAN COMERCIAL;JSAAVEDRA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1361;151;
PA;MEC 231.2023;29676408;1152776;Aprobada;2023-11-16 10:25:33-05;11;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;75;GES. ENERGETICA;75;CAMBIO PLAN COMERCIAL;JSAAVEDRA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1363;;
PA;DIC 209.2023;29782395;1146378;Aprobada;2023-11-20 15:50:44-05;11;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1403;;
SU;PRI 232.2023;29784273;259122;Pendiente;2024-01-16 10:13:21-05;1;2024;N/A;medidor no conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;MARIMEJIACH;Posible anomalia;Disponible;ZTY1416;;
NO;R Y 211.2023;29787138;565995;Aprobada;2023-11-24 07:53:18-05;11;2023;1;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1355;1689;
